sample,family,variant,diameter_nm,energy_map,closure,reactive,cls,flags,theta_bri,reconstructed_fraction,bridging_capacity_umol_g,N_react_umol_g,TOF_s_1,N_react_uncapped_umol_g,TOF_uncapped_s_1,pair_fraction,iterations,inventory_residual,Q_vs_R600
A600,PRIMARY,,900,PAB,NEUTRAL,BRI,PRIMARY,RECON_CAP,0.669792,0,13.5581,2.30487,0.980532,9.08108,0.248869,0,12,-8.9e-15,0.576529
A600,PRIMARY,,900,PAB,NEUTRAL,ISO_z2,PRIMARY,RECON_CAP,0.669792,0,13.5581,1.58783,1.42333,0.990178,2.28242,0,12,-8.9e-15,0.576529
A600,PRIMARY,,900,PAB,NEUTRAL,ISO_z4,PRIMARY,RECON_CAP,0.669792,0,13.5581,1.09385,2.06609,0.107966,,0,12,-8.9e-15,0.576531
A600,PRIMARY,,900,PAB,NEUTRAL,ISO_z8,PRIMARY,RECON_CAP,0.669792,0,13.5581,0.519124,4.35349,0.00128363,,0,12,-8.9e-15,0.576531
R500,PRIMARY,,900,PAB,NEUTRAL,BRI,PRIMARY,RECON_CAP,0.959793,0,13.5581,2.30487,1.63567,13.0129,0.289712,0,12,-7.1e-15,0.961735
R500,PRIMARY,,900,PAB,NEUTRAL,ISO_z2,PRIMARY,RECON_CAP,0.959793,0,13.5581,1.58783,2.37432,0.021037,,0,12,-7.1e-15,0.961734
R500,PRIMARY,,900,PAB,NEUTRAL,ISO_z4,PRIMARY,RECON_CAP,0.959793,0,13.5581,1.09385,3.44653,3.40089e-05,,0,12,-7.1e-15,0.961735
R500,PRIMARY,,900,PAB,NEUTRAL,ISO_z8,PRIMARY,RECON_CAP,0.959793,0,13.5581,0.519124,7.26223,8.88814e-11,,0,12,-7.1e-15,0.961734
R600,PRIMARY,,900,PAB,NEUTRAL,BRI,PRIMARY,RECON_CAP,0.991963,0,13.5581,2.30487,1.70075,13.4491,0.291469,0,10,2.6e-11,1
R600,PRIMARY,,900,PAB,NEUTRAL,ISO_z2,PRIMARY,RECON_CAP,0.991963,0,13.5581,1.58783,2.46879,0.000868682,,0,10,2.6e-11,1
R600,PRIMARY,,900,PAB,NEUTRAL,ISO_z4,PRIMARY,RECON_CAP,0.991963,0,13.5581,1.09385,3.58366,5.61085e-08,,0,10,2.6e-11,1
R600,PRIMARY,,900,PAB,NEUTRAL,ISO_z8,PRIMARY,RECON_CAP,0.991963,0,13.5581,0.519124,7.55118,2.3408e-16,,0,10,2.6e-11,1
